wavelength,rocks_mean,sand_mean,seaweed_mean
350.0,0.11198347392672355,0.08887039197217265,0.026920553231037897
351.0,0.11206514065954869,0.08901717083106392,0.0269382150650866
352.0,0.11215761611317039,0.08917353264836601,0.026957320758634277
353.0,0.11226090028758869,0.08933947742407897,0.02697787031168093
354.0,0.11237499318280356,0.08951500515820277,0.026999863724226556
355.0,0.112499894798815,0.0897001158507374,0.02702330099627116
356.0,0.11263560513562303,0.08989480950168288,0.027048182127814735
357.0,0.11278212419322763,0.09009908611103921,0.027074507118857286
358.0,0.1129394519716288,0.09031294567880638,0.027102275969398813
359.0,0.11310758847082655,0.0905363882049844,0.027131488679439313
360.0,0.11328653369082088,0.09076941368957325,0.027162145248978788
361.0,0.11347628763161179,0.09101202213257296,0.02719424567801724
362.0,0.11367685029319927,0.09126421353398351,0.02722778996655466
363.0,0.11388822167558334,0.09152598789380491,0.027262778114591064
364.0,0.11411040177876397,0.09179734521203715,0.02729921012212644
365.0,0.11434339060274118,0.09207828548868023,0.027337085989160785
366.0,0.11458718814751498,0.09236880872373417,0.02737640571569411
367.0,0.11484179441308534,0.09266891491719893,0.02741716930172641
368.0,0.11510720939945229,0.09297860406907456,0.027459376747257683
369.0,0.11538343310661582,0.09329787617936101,0.02750302805228793
370.0,0.1156704655345826,0.09362673124806374,0.027548123216818744
371.0,0.11600297800507109,0.09400154833763188,0.02759890456130749
372.0,0.11633726508586946,0.09437731694819636,0.027650333411070007
373.0,0.11668392032655792,0.09476159012584588,0.027703420351899818
374.0,0.11703243238780678,0.0951388416218808,0.02775728233021307
375.0,0.11738769282316946,0.09551756614966433,0.02781427779718961
376.0,0.11775559417860712,0.09590736053741322,0.02787422902800775
377.0,0.11813320685133066,0.09631117884790785,0.027938156226563225
378.0,0.11852602269297693,0.09673506244489012,0.028001386223490726
379.0,0.11893110493059442,0.0971717940591834,0.02806192081219749
380.0,0.11934506061004492,0.09761822629153925,0.02811918390915165
381.0,0.11975523668643025,0.09805959499877166,0.028176404919295815
382.0,0.12016074680600965,0.09849498834182809,0.028233856097074916
383.0,0.12055673689220985,0.09892494113308459,0.028290298445230715
384.0,0.12093914651342318,0.09934515169262421,0.028341192441157174
385.0,0.12131713341935699,0.0997605880877595,0.0283871260453204
386.0,0.12169644787553892,0.10016955689253379,0.02843296061298493
387.0,0.12207597772266854,0.1005694486164295,0.028479045398109953
388.0,0.12244627243467329,0.10096201742366981,0.02852584263301125
389.0,0.12280510079485424,0.10134719522171783,0.028572814246569017
390.0,0.12314409592828944,0.10172089205355814,0.028617393735505203
391.0,0.12347044635820686,0.10208725319354492,0.028659192002199987
392.0,0.12379031416926224,0.1024482748340613,0.028700503031137845
393.0,0.12411132799597721,0.10280994623459722,0.02874029685679701
394.0,0.12443478049368138,0.10317401401478177,0.028779190002706435
